wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,25,30,1,1,24,2,1,159,0,0,0.875,0.625,1,1,78,1,0.5,0
2,2,0,16,16,1,1,15,2,2,54,0,0,0.8,0.666666667,0,0,26,1,0.5,0
2,1,0,11,13,1,0,11,0,1,56,1,0,0,1,0,0,22,0,0,0
2,3,0,52,15,1,44,8,2,2,72,0,0,0.875,0.625,2,2,35,5,2.5,0
1,1,0,3,5,0,2,1,0,2,23,0,0,0,0,0,0,12,0,0,0
2,3,0,12,12,1,3,9,2,2,44,0,0,0.875,0.666666667,1,1,21,3,1.5,0
3,4,0,7,12,3,0,7,1,1,36,0,0,0.952380952,0.75,1,1,10.33333333,1,0.3333,0
2,1,0,22,24,1,0,22,0,1,111,1,0,0,1,0,0,44,0,0,0
2,3,0,17,21,1,4,13,2,2,84,0,0,0.875,0.625,2,2,41,1,0.5,0
2,3,0,14,18,1,1,13,2,2,67,0,0,0.875,0.6,1,1,32.5,4,2,0
2,4,0,9,4,1,0,9,2,2,12,0,0,0.944444444,0.6,1,1,5,1,0.5,0
5,5,0,21,33,8,5,16,4,1,114,0,0,0.942307692,0.5,4,11,21.2,1,0.6,0
4,1,4,15,21,0,4,11,3,0.666666667,158,0.5,0,0,0.466666667,0,0,38,6,2.25,0
2,1,0,12,14,1,0,12,0,1,61,1,0,0,1,0,0,24,0,0,0
2,4,0,26,17,1,3,23,2,2,174,0,0,0.944444444,0.625,1,1,86,1,0.5,0
2,3,0,17,35,1,1,16,2,1,161,0,0,0.875,0.625,1,1,78.5,12,6,0
2,1,0,12,14,1,0,12,0,1,61,1,0,0,1,0,0,24,0,0,0
2,1,0,4,6,1,0,4,0,1,21,1,0,0,1,0,0,8,0,0,0
6,4,0,28,39,15,5,23,2,2,296,0,0,0.772727273,0.270833333,1,1,48.33333333,7,2.3333,0
2,3,0,23,16,1,2,21,2,2,70,0,0,0.875,0.625,1,1,34,1,0.5,0
3,3,0,20,13,1,1,19,2,0.5,65,0,0,0.875,0.625,1,1,20.33333333,1,0.3333,0
2,2,0,18,20,1,1,17,2,2,94,0,0,0.8,0.666666667,0,0,46,1,0.5,0
4,7,0,13,13,4,4,9,1,1,43,0,0,0.925925926,0.555555556,2,2,9,1,0.5,0
5,7,0,23,25,4,1,22,1,0.916666667,96,0,0,0.892857143,0.666666667,2,3,17.6,1,0.6,0
7,3,6,17,44,0,6,11,5,0.611111111,286,0.333333333,0,0.895833333,0.458333333,1,2,39.42857143,3,1.8571,0
4,6,0,15,13,4,6,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
2,3,0,14,9,1,1,13,2,2,35,0,0,0.875,0.625,1,1,16.5,1,0.5,0
22,3,47,115,174,93,92,24,20,0.935817805,2338,0.043478261,0,0.682539683,0.232804233,2,4,104.2272727,43,6.1818,0
4,4,0,27,68,4,1,26,3,1,298,0,0,0.966666667,0.555555556,3,7,72.75,1,0.5,1
4,4,0,11,19,4,1,10,3,1,102,0,0,0.978723404,0.555555556,3,9,23.75,1,0.5,0
5,7,0,21,23,4,1,20,1,0.916666667,86,0,0,0.892857143,0.666666667,2,3,15.6,1,0.6,0
2,2,0,19,16,1,1,18,2,2,76,0,0,0.8,0.666666667,0,0,37,1,0.5,0
5,5,0,17,19,4,1,16,1,0.916666667,73,0,0,0.88,0.666666667,2,3,13,1,0.6,0
5,4,1,12,23,8,1,11,1,0.9375,178,0.25,0,0.931818182,0.625,1,2,33.8,1,0.6,0
5,6,0,14,17,4,1,13,1,0.916666667,58,0,0,0.884615385,0.666666667,2,3,10,2,0.8,0
3,4,0,50,78,3,1,49,2,1.5,604,0,0,0.894736842,0.6,1,2,200,1,0.6667,1
2,4,0,27,27,1,1,26,2,2,403,0,0,0.944444444,0.625,1,1,200.5,1,0.5,0
2,1,0,14,22,1,0,14,2,1,113,0,0,0,0.666666667,0,0,54.5,5,2.5,0
5,5,0,11,14,8,3,8,1,1,46,0,0,0.875,0.5,3,5,7.6,1,0.6,0
5,7,0,14,17,4,1,13,1,0.916666667,58,0,0,0.892857143,0.666666667,2,3,10,1,0.6,0
2,3,0,10,8,1,1,9,2,2,29,0,0,0.875,0.625,1,1,13.5,1,0.5,0
7,5,0,22,30,15,1,21,1,0.944444444,114,0,0,0.807692308,0.611111111,2,5,14.85714286,1,0.7143,0
5,4,0,12,30,4,1,11,4,0.916666667,152,0,0,0.955223881,0.666666667,3,5,28.8,1,0.6,0
2,4,0,26,12,1,8,18,2,2,51,0,0,0.944444444,0.625,1,1,24.5,5,2.5,0
2,4,0,49,62,1,1,48,2,2,537,0,0,0.944444444,0.6,1,1,267.5,1,0.5,0
2,3,0,18,8,1,6,12,2,2,23,0,0,0.875,0.625,1,1,10.5,2,1,0
2,1,0,6,8,1,0,6,0,1,31,1,0,0,1,0,0,12,0,0,0
2,1,0,11,13,1,0,11,0,1,61,1,0,0,1,0,0,24,0,0,0
2,3,0,13,9,1,1,12,2,2,33,0,0,0.875,0.625,1,1,15.5,2,1,0
5,5,0,15,17,4,1,14,1,0.916666667,61,0,0,0.88,0.666666667,2,3,10.6,1,0.6,0
6,4,0,25,39,3,3,22,5,0.866666667,393,0,0,0.958333333,0.733333333,3,6,64,1,0.6667,0
5,6,0,24,30,4,2,22,1,1.05,187,0,0,0.884615385,0.666666667,2,3,35.4,1,0.6,0
2,3,0,22,20,1,1,21,2,1,92,0,0,0.875,0.625,1,1,44,3,1.5,0
2,3,0,21,36,1,2,19,2,2,261,0,0,0.875,0.625,1,1,129.5,1,0.5,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
10,1,0,42,109,0,1,42,2,0.722222222,2342,0.916666667,1,0,0.511111111,0,0,232,3,1,1
2,3,0,18,11,1,8,10,2,2,64,1,0,0.875,0.625,1,1,30.5,5,2.5,0
2,3,0,22,16,1,1,21,2,2,91,0,0,0.875,0.625,1,1,44.5,1,0.5,0
7,5,0,27,30,15,1,26,1,0.944444444,134,0,0,0.807692308,0.611111111,2,5,17.71428571,1,0.7143,0
3,2,0,28,70,3,0,28,1,1,441,0,0,0.875,0.5,2,3,145,13,5.6667,0
5,6,0,17,19,4,1,16,1,0.916666667,86,0,0,0.888888889,0.666666667,2,3,15.6,1,0.6,0
4,4,0,24,42,4,2,22,3,1.133333333,281,0,0,0.96969697,0.555555556,4,6,68,1,0.5,0
2,3,0,13,7,1,3,10,2,2,24,0,0,0.875,0.625,1,1,11,2,1,0
2,1,0,10,14,1,2,8,2,1,109,0,0,0,0.75,0,0,53,11,5.5,0
2,3,0,25,16,1,3,22,2,2,99,0,0,0.875,0.625,1,1,48.5,1,0.5,0
5,6,0,15,18,4,0,15,1,0.916666667,64,0,0,0.884615385,0.666666667,2,3,11.2,1,0.6,0
5,7,0,17,18,4,1,16,1,0.916666667,74,0,0,0.888888889,0.666666667,2,3,13.2,1,0.6,0
5,5,0,14,17,4,1,13,1,0.916666667,58,0,0,0.88,0.666666667,2,3,10,1,0.6,0
2,5,0,3,4,1,0,3,2,2,10,0,0,0.96875,0.666666667,2,2,4,1,0.5,0
5,6,0,14,17,4,1,13,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
9,4,0,26,52,0,5,21,7,0.791666667,386,0,0,0.877192982,0.625,3,4,41.55555556,1,0.7778,0
2,3,0,6,7,1,1,5,2,2,25,1,0,0.857142857,0.666666667,1,1,11,2,1,0
5,6,0,18,20,4,1,17,1,0.916666667,75,0,0,0.884615385,0.666666667,2,3,13.4,1,0.6,0
6,4,0,16,55,9,3,13,4,0.933333333,320,0,0,0.958333333,0.5,3,9,51.83333333,1,0.6667,0
2,4,0,37,34,1,3,34,2,2,287,0,0,0.944444444,0.625,2,2,142.5,1,0.5,0
2,3,0,24,21,1,1,23,2,2,87,0,0,0.875,0.6,1,1,42.5,7,3.5,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
3,3,0,13,33,1,2,11,2,0.833333333,165,0.333333333,0,0.857142857,0.666666667,1,1,53,13,4.3333,0
5,7,0,10,14,4,1,9,1,0.916666667,52,0,0,0.892857143,0.666666667,2,3,8.8,1,0.6,0
5,7,0,22,25,4,1,21,1,0.916666667,87,0,0,0.892857143,0.666666667,2,3,15.8,1,0.6,0
6,4,0,12,55,9,1,11,4,0.933333333,393,0,0,0.958333333,0.5,3,9,64,1,0.6667,0
2,2,0,14,10,1,2,12,2,2,40,0,0,0.8,0.666666667,0,0,19,1,0.5,0
7,6,0,34,27,9,12,22,2,0.888888889,123,0,0,0.827586207,0.722222222,2,3,16.14285714,1,0.7143,0
6,6,0,20,22,3,3,17,1,0.866666667,85,0,0,0.851851852,0.733333333,2,3,12.66666667,1,0.6667,0
3,1,0,17,20,3,11,6,1,2,242,0,0,0,0.333333333,0,0,79.66666667,2,1.3333,0
5,8,0,16,17,4,3,13,1,0.916666667,58,0,0,0.896551724,0.666666667,2,3,10,1,0.6,0
2,3,0,10,6,1,4,6,2,2,17,0,0,0.875,0.625,1,1,7.5,1,0.5,0
2,2,0,11,15,1,1,10,2,2,80,0,0,0.928571429,0.666666667,1,2,39,1,0.5,0
6,5,0,20,34,9,2,18,4,0.933333333,182,0,0,0.924528302,0.666666667,4,8,28.83333333,1,0.6667,0
2,3,0,10,8,1,1,9,2,2,31,0,0,0.875,0.625,1,1,14.5,2,1,0
6,1,0,29,55,13,8,21,0,0.9,1290,0.5,0,0,0.35,0,0,213.6666667,26,11.6667,0
5,6,0,18,22,4,2,16,1,0.916666667,111,0,0,0.884615385,0.666666667,2,3,20.6,1,0.6,0
2,1,0,18,20,1,0,18,0,1,91,1,0,0,1,0,0,36,0,0,0
2,4,0,18,15,1,1,17,2,2,97,0,0,0.944444444,0.625,2,2,47.5,1,0.5,0
2,3,0,14,14,1,1,13,2,2,65,0,0,0.875,0.6,1,1,31.5,6,3,0
2,4,0,27,27,1,2,25,2,2,391,0,0,0.944444444,0.625,1,1,194.5,1,0.5,0
4,4,0,11,19,4,1,10,3,1,85,0,0,0.978723404,0.555555556,3,7,19.5,1,0.5,0
5,6,0,10,16,4,1,9,1,0.916666667,62,0,0,0.884615385,0.666666667,2,3,10.8,1,0.6,0
2,1,0,4,5,1,3,2,2,2,23,0,0,0,0.75,0,0,10.5,1,0.5,0
2,3,0,8,9,1,1,7,2,2,57,0,0,0.875,0.666666667,1,1,27.5,4,2,0
2,3,0,31,66,1,3,28,2,1,351,0,0,0.875,0.625,1,1,172.5,1,0.5,0
2,1,0,2,4,1,0,2,0,1,11,1,0,0,1,0,0,4,0,0,0
5,6,0,18,21,4,1,17,1,0.916666667,82,0,0,0.884615385,0.666666667,2,3,14.8,1,0.6,0
2,1,0,9,11,1,0,9,0,1,61,1,0,0,1,0,0,24,0,0,0
3,5,0,5,7,1,1,4,1,0.5,29,0,0,0.973684211,0.625,1,1,8,2,0.6667,0
5,4,0,17,13,10,6,11,1,2,52,0,0,0.878787879,0.55,2,3,9.4,5,1.6,0
2,1,0,9,11,1,0,9,0,1,46,1,0,0,1,0,0,18,0,0,0
2,3,0,23,38,1,1,22,2,2,235,0,0,0.875,0.625,1,1,116.5,1,0.5,0
2,3,0,14,13,1,2,12,2,2,124,0,0,0.857142857,0.666666667,1,1,61,9,4.5,0
2,4,0,13,20,1,1,12,2,2,150,0,0,0.944444444,0.625,1,1,74,1,0.5,0
3,2,0,5,4,3,1,4,2,2,28,0,0,0.923076923,0.555555556,1,1,8.333333333,1,0.6667,0
6,3,0,10,29,0,0,10,3,0.745454545,356,0.727272727,0,0.818181818,0.36,0,0,56.5,7,2.3333,0
2,1,0,14,16,1,0,14,0,1,71,1,0,0,1,0,0,28,0,0,0
4,1,0,3,21,4,3,0,3,0.666666667,116,0.333333333,0,0,0.45,0,0,27.25,2,1,0
2,3,0,10,17,1,1,9,2,2,65,0,0,0.875,0.625,1,1,31.5,7,3.5,0
5,4,0,27,20,10,8,19,1,2,66,0,0,0.878787879,0.55,2,3,12.2,6,1.8,0
27,1,0,108,102,349,85,23,23,0.980769231,1261,0.5,0,0,0.211538462,0,0,45.62962963,16,6.037,0
3,2,0,4,13,3,0,4,2,2,99,0,0,0.923076923,0.555555556,1,2,32,5,2,0
12,4,0,40,88,0,5,35,11,0.836363636,550,0.2,0,0.761904762,0.878787879,3,3,44.41666667,1,0.8333,1
2,3,0,14,9,1,3,11,2,2,28,0,0,0.875,0.625,1,1,13,1,0.5,0
5,5,0,19,32,4,2,17,4,0.916666667,157,0,0,0.942307692,0.666666667,4,12,29.8,1,0.6,0
2,6,0,4,3,1,2,2,2,2,9,1,0,0.962962963,0.75,1,1,3,1,0.5,0
31,1,0,6,32,375,3,3,31,0.933333333,202,1,0,0,0.181451613,0,0,5.032258065,1,0.9677,0
2,3,0,11,6,1,1,10,2,2,17,0,0,0.875,0.625,1,1,7.5,1,0.5,0
2,4,0,28,22,1,3,25,2,2,99,0,0,0.944444444,0.625,2,2,48.5,1,0.5,0
2,3,0,12,13,1,1,11,2,2,51,0,0,0.875,0.625,1,1,24.5,1,0.5,0
2,3,0,15,12,1,3,12,2,2,41,0,0,0.875,0.666666667,1,1,19.5,4,2,0
7,4,4,27,38,9,4,23,5,0.75,220,0,0,0.948453608,0.472222222,1,3,30.14285714,2,0.8571,0
2,3,0,13,11,1,2,11,2,2,36,0,0,0.875,0.625,1,1,17,2,1,0
4,4,0,18,27,4,1,17,3,1,134,0,0,0.978723404,0.555555556,3,9,31.75,1,0.5,0
5,8,0,21,20,4,3,18,1,0.916666667,79,0,0,0.892857143,0.666666667,2,3,14.2,1,0.6,0
7,5,0,23,28,15,1,22,1,0.944444444,134,0,0,0.807692308,0.611111111,2,5,17.71428571,1,0.7143,0
6,5,0,17,21,9,1,16,1,0.933333333,75,0,0,0.846153846,0.6,2,7,11,2,0.8333,0
2,3,0,11,13,1,1,10,2,2,64,0,0,0.875,0.625,1,1,31,1,0.5,0
7,1,0,10,23,13,3,7,7,0.952380952,147,0.571428571,0,0,0.321428571,0,0,19,3,1.2857,0
4,4,0,18,27,4,1,17,3,1,109,0,0,0.96969697,0.555555556,3,4,25.5,1,0.5,0
3,2,0,6,9,3,1,5,2,2,53,0,0,0.923076923,0.555555556,1,2,16.66666667,4,1.6667,0
2,3,0,12,16,1,1,11,2,2,63,0,0,0.875,0.625,1,1,30.5,4,2,0
6,6,0,20,24,3,1,19,1,0.866666667,102,0,0,0.851851852,0.733333333,2,3,15.5,1,0.6667,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
5,6,0,23,33,4,1,22,1,0.916666667,128,0,0,0.888888889,0.666666667,2,3,24,1,0.6,0
2,3,0,23,25,1,4,19,2,2,131,0,0,0.875,0.583333333,2,2,64.5,1,0.5,0
5,6,0,13,17,4,1,12,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,1,0,17,19,1,0,17,0,1,86,1,0,0,1,0,0,34,0,0,0
4,4,0,24,55,6,1,23,3,1.111111111,324,0,0,0.96,0.5,3,5,79.25,1,0.5,0
6,6,0,19,22,3,2,17,1,0.866666667,98,0,0,0.851851852,0.733333333,2,3,14.83333333,1,0.6667,0
5,6,0,15,17,4,2,13,1,0.916666667,58,0,0,0.888888889,0.666666667,2,3,10,1,0.6,0
5,4,0,13,16,10,1,12,1,1.25,52,1,0,0.878787879,0.55,2,3,9.2,4,1.4,0
5,4,0,12,17,10,2,10,1,2,53,0,0,0.878787879,0.55,2,3,9.6,6,1.8,0
13,1,2,29,55,70,2,27,8,0.958333333,285,0.25,1,0,0.194444444,0,0,20.30769231,6,1.8462,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
4,6,0,9,14,4,1,8,3,1,53,0,0,0.963636364,0.555555556,5,9,11.5,1,0.5,0
4,2,0,9,27,4,1,8,2,0.833333333,253,1,0,0.888888889,0.555555556,1,3,61.25,21,5.5,0
5,6,0,17,18,4,1,16,1,0.916666667,74,0,0,0.884615385,0.666666667,2,3,13.2,1,0.6,0
53,1,0,11,54,1376,0,11,53,0.980769231,155,1,0,0,0.099730458,0,0,1.905660377,1,0.9811,0
2,3,0,9,12,1,2,7,2,2,47,0,0,0.875,0.625,1,1,22.5,4,2,0
3,5,0,5,7,1,1,4,1,0.5,29,0,0,0.973684211,0.625,1,1,8,2,0.6667,0
5,3,0,22,29,10,0,22,5,1,126,0,0,0.888888889,0.5,0,0,23.6,3,1.6,0
2,1,0,25,27,1,0,25,0,1,136,1,0,0,1,0,0,54,0,0,0
5,5,0,16,30,8,4,12,4,1,105,0,0,0.942307692,0.5,4,11,19.4,1,0.6,0
6,3,0,24,47,15,4,20,2,2,354,0,0,0.583333333,0.428571429,1,1,58,6,2.1667,0
2,4,0,25,16,1,1,24,2,2,54,0,0,0.944444444,0.625,2,2,26,1,0.5,0
7,5,0,30,92,15,0,30,2,0.944444444,999,0.166666667,0,0.872340426,0.357142857,1,2,140,22,7.2857,0
2,1,0,24,26,1,0,24,0,1,121,1,0,0,1,0,0,48,0,0,0
2,3,0,23,20,1,2,21,2,2,108,0,0,0.875,0.6,1,1,53,1,0.5,0
2,3,0,14,12,1,1,13,2,2,50,0,0,0.875,0.625,1,1,24,2,1,0
3,1,0,11,30,1,1,10,1,1.1,105,0.6,0,0,0.5,0,0,32.33333333,2,0.6667,0
2,3,0,13,11,1,1,12,2,2,36,0,0,0.875,0.625,1,1,17,3,1.5,0
6,1,0,33,81,15,0,33,2,1.2,630,1,0,0,0.318181818,0,0,103.6666667,14,6,1
3,1,0,28,32,1,0,28,2,0.875,238,0.25,0,0,0.6,0,0,77,20,6.6667,0
7,5,0,11,12,21,1,10,1,2,34,0,0,0.8,0.380952381,1,2,3.857142857,2,1,0
3,2,0,16,26,3,0,16,2,0.5,113,0,0,0.666666667,0.5,0,0,36.33333333,3,1.3333,0
4,5,0,19,23,4,1,18,3,1,85,0,0,0.960784314,0.555555556,4,8,19.5,1,0.5,0
2,3,0,8,7,1,1,7,2,2,21,0,0,0.875,0.625,1,1,9.5,1,0.5,0
2,3,0,17,19,1,2,15,2,2,85,0,0,0.875,0.625,1,1,41.5,7,3.5,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
2,4,0,39,33,1,11,28,2,2,161,0,0,0.944444444,0.625,1,2,79.5,1,0.5,0
2,3,0,22,31,1,2,20,2,2,146,0,0,0.875,0.625,1,1,72,1,0.5,0
347,1,0,24,348,59977,0,24,347,0.99699422,1158,1,0,0,0.049087416,0,0,2.265129683,1,0.9971,0
2,3,0,13,14,1,1,12,2,2,116,1,0,0.875,0.625,1,1,55.5,10,5,0
3,3,0,10,23,1,0,10,2,0.75,95,0.5,0,0.947368421,0.666666667,0,0,30,4,1.3333,0
11,1,0,18,35,0,15,3,11,0.6,125,1,0,0,0.386363636,0,0,10,1,0.9091,0
4,1,0,18,19,6,2,16,3,2,93,0,0,0,0.416666667,0,0,22.25,3,1.75,0
5,7,0,22,25,4,1,21,1,0.916666667,97,0,0,0.888888889,0.666666667,2,3,17.8,1,0.6,0
2,3,0,11,11,1,1,10,2,2,41,0,0,0.875,0.666666667,1,1,19.5,5,2.5,0
2,3,0,20,28,1,2,18,2,2,102,1,0,0.875,0.625,2,2,49.5,7,3.5,0
9,1,0,33,62,34,13,21,7,0.9375,294,0.5,0,0,0.3125,0,0,31.44444444,2,1,0
2,4,0,19,27,1,0,19,1,1,312,0,0,0.976190476,1,1,1,152.5,1,0.5,0
2,3,0,15,16,1,1,14,2,2,61,0,0,0.875,0.625,1,1,29.5,3,1.5,0
5,5,0,23,22,4,4,19,1,0.916666667,86,0,0,0.88,0.666666667,2,3,15.6,1,0.6,0
2,3,0,12,14,1,1,11,2,2,56,0,0,0.875,0.625,1,1,27,4,2,0
2,3,0,27,20,1,2,25,2,2,167,0,0,0.875,0.625,1,1,82.5,4,2,0
5,6,0,4,9,10,2,2,5,1.25,28,0,0,0.962962963,0.65,1,1,4.4,1,0.2,0
2,3,0,17,19,1,2,15,2,2,85,0,0,0.875,0.625,1,1,41.5,1,0.5,0
27,1,0,75,100,327,33,42,23,0.785359801,2338,0.096774194,0,0,0.15,0,0,84.44444444,49,5.8889,1
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
4,5,0,15,21,4,1,14,3,1,80,0,0,0.960784314,0.555555556,4,8,18.25,1,0.5,0
5,6,0,18,22,4,2,16,1,0.916666667,111,0,0,0.884615385,0.666666667,2,3,20.6,1,0.6,0
5,6,0,14,17,4,1,13,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,3,0,9,14,1,1,8,2,2,45,0,0,0.857142857,0.666666667,1,1,21.5,3,1.5,0
2,4,4,11,7,1,4,7,1,2,21,0,0,0.952380952,0.75,1,1,9.5,1,0.5,0
2,3,0,21,9,1,6,15,2,2,42,0,0,0.875,0.625,1,1,20,2,1,0
3,4,0,10,11,1,3,7,2,0.5,124,1,0,0.909090909,0.625,2,2,39.66666667,1,0.3333,0
2,3,0,15,23,1,1,14,2,1,98,0,0,0.875,0.625,1,1,47,7,3.5,0
2,3,0,23,25,1,2,21,2,2,95,0,0,0.875,0.6,1,1,46.5,1,0.5,0
2,3,0,14,19,1,1,13,2,2,85,0,0,0.875,0.625,1,1,41.5,1,0.5,0
2,3,0,7,10,1,1,6,2,2,38,0,0,0.875,0.625,1,1,18,3,1.5,0
5,8,0,15,17,4,2,13,1,0.916666667,58,0,0,0.896551724,0.666666667,2,3,10,1,0.6,0
2,3,0,9,11,1,2,7,2,2,39,0,0,0.875,0.625,1,1,18.5,2,1,0
2,3,0,21,19,1,1,20,2,2,74,0,0,0.875,0.625,1,1,36,6,3,0
5,6,0,16,18,4,1,15,1,0.916666667,68,0,0,0.884615385,0.666666667,2,3,12,1,0.6,0
4,4,0,11,14,6,2,9,4,2,43,0,0,0.8,0.75,1,1,9.75,3,1.25,0
2,1,0,74,76,1,0,74,0,1,371,1,0,0,1,0,0,148,0,0,0
5,7,0,24,23,4,1,23,1,0.916666667,96,0,0,0.892857143,0.666666667,2,3,17.6,1,0.6,0
4,5,0,13,30,4,0,13,2,0.962962963,515,0.111111111,0,0.957446809,0.666666667,1,1,125.5,12,3.5,0
2,3,0,10,14,1,1,9,2,2,55,0,0,0.875,0.6,1,1,26.5,4,2,0
3,3,0,8,17,1,1,7,2,0.75,54,0,0,0.875,0.625,1,1,16.33333333,2,0.6667,0
2,3,0,23,32,1,4,19,2,2,229,1,0,0.875,0.625,1,1,112.5,1,0.5,0
2,2,0,15,19,1,0,15,2,1,81,0,0,0.875,0.666666667,0,0,38.5,4,2,0
3,3,0,13,15,3,1,12,2,1,64,0,0,0.875,0.625,1,1,19.66666667,1,0.3333,0
5,7,0,28,25,4,6,22,1,0.916666667,96,0,0,0.892857143,0.666666667,2,3,17.6,1,0.6,0
5,7,0,23,25,4,1,22,1,0.916666667,96,0,0,0.892857143,0.666666667,2,3,17.6,1,0.6,0
4,5,0,6,12,4,1,5,3,1,49,0,0,0.980392157,0.555555556,4,8,10.5,1,0.5,0
3,3,0,19,14,3,6,13,2,2,76,0,0,0.777777778,0.476190476,1,1,24.33333333,5,2,1
4,4,0,16,20,4,1,15,3,1,73,0,0,0.959183673,0.555555556,3,4,16.5,1,0.5,0
4,4,0,23,38,4,1,22,3,1,172,0,0,0.966666667,0.555555556,3,7,41.25,1,0.5,0
2,4,0,39,49,1,1,38,2,1,550,0,0,0.944444444,0.625,1,1,273,1,0.5,0
2,2,0,14,13,1,5,9,2,2,51,0,0,0.8,0.666666667,0,0,24.5,1,0.5,0
6,7,0,15,20,3,2,13,1,0.866666667,75,0,0,0.857142857,0.733333333,2,3,11,1,0.6667,1
4,4,0,31,81,6,1,30,3,1.083333333,694,0,0,0.96,0.5,4,6,171.5,1,0.5,0
4,2,0,5,5,6,1,4,3,2,27,0,0,0.842105263,0.583333333,0,0,5.75,1,0.75,0
2,3,0,18,13,1,1,17,2,2,51,0,0,0.875,0.625,1,1,24.5,6,3,0
4,7,0,9,13,4,1,8,1,1,43,0,0,0.923076923,0.555555556,2,2,9,1,0.5,0
5,7,0,19,20,4,1,18,1,0.916666667,74,0,0,0.892857143,0.666666667,2,3,13.2,1,0.6,0
5,4,0,14,25,10,0,14,4,1,109,0,0,0.902439024,0.366666667,2,2,20.6,1,0.8,0
9,4,0,16,32,34,1,15,2,1,111,0,0,0.740740741,0.339285714,2,5,11,1,0.7778,1
2,4,0,34,33,1,1,33,2,2,247,0,0,0.944444444,0.625,2,2,122.5,1,0.5,0
6,4,0,12,20,13,1,11,1,1,69,0,0,0.833333333,0.533333333,2,4,10,1,0.6667,0
4,4,0,28,50,4,1,27,3,1,243,0,0,0.966666667,0.555555556,3,5,59,1,0.5,0
5,4,0,14,25,10,0,14,4,1,109,0,0,0.902439024,0.366666667,2,2,20.6,1,0.8,0
5,6,0,13,20,4,1,12,1,0.916666667,72,0,0,0.884615385,0.666666667,2,3,12.8,1,0.6,0
2,3,0,1,3,1,0,1,1,2,7,0,0,0.96,1,1,1,2.5,1,0.5,0
4,4,0,14,23,6,0,14,3,1,112,0,0,0.925,0.375,2,2,26.75,1,0.75,0
2,2,0,14,23,1,1,13,2,1.333333333,130,0.333333333,0,0.8,0.666666667,0,0,62.5,1,0.5,0
2,3,0,23,15,1,3,20,2,2,79,0,0,0.875,0.625,1,1,38.5,2,1,0
3,1,0,17,37,1,0,17,2,0.833333333,561,0.333333333,0,0,0.625,0,0,185,33,11,0
6,6,0,18,22,3,4,14,1,0.866666667,83,0,0,0.851851852,0.733333333,2,3,12.33333333,1,0.6667,0
14,1,0,123,85,89,72,51,2,0.974358974,798,0.333333333,0,0,0.142857143,0,0,55.78571429,23,5.3571,0
3,2,0,42,187,3,1,41,2,0.9,1081,0,0,0.866666667,0.476190476,2,6,357.6666667,44,18.6667,0
2,3,0,23,18,1,1,22,2,2,75,0,0,0.875,0.625,1,1,36.5,1,0.5,0
2,3,0,7,10,1,0,7,2,2,27,0,0,0.966666667,0.666666667,2,3,12.5,1,0.5,0
2,3,0,13,14,1,1,12,2,2,55,0,0,0.875,0.625,1,1,26.5,4,2,0
5,6,0,17,18,4,1,16,1,0.916666667,61,0,0,0.884615385,0.666666667,2,3,10.6,1,0.6,0
4,4,0,14,25,4,1,13,3,1,94,0,0,0.96875,0.555555556,3,7,21.75,1,0.5,0
5,6,0,20,23,4,1,19,1,0.916666667,81,0,0,0.884615385,0.666666667,2,3,14.6,1,0.6,0
4,4,0,9,13,4,0,9,3,1,52,0,0,0.941176471,0.555555556,3,4,11.25,1,0.5,0
5,6,0,14,20,4,1,13,1,0.916666667,77,0,0,0.884615385,0.666666667,2,3,13.8,1,0.6,0
2,1,0,1,4,1,0,1,1,2,11,0,0,0,0.5,0,0,4.5,1,0.5,0
2,3,0,19,13,1,3,16,2,2,67,0,0,0.875,0.625,1,1,32.5,7,3.5,0
5,7,0,19,20,4,1,18,1,0.916666667,74,0,0,0.892857143,0.666666667,2,3,13.2,1,0.6,0
6,4,0,18,33,15,1,17,1,1,161,0,0,0.857142857,0.404761905,1,3,25.16666667,5,1.6667,0
3,1,0,8,18,1,0,8,2,0.75,103,0.5,0,0,0.625,0,0,32.66666667,5,1.6667,0
6,5,0,16,25,3,5,11,5,0.866666667,181,0,0,0.924528302,0.733333333,4,8,28.66666667,1,0.6667,0
2,1,0,26,28,1,0,26,0,1,131,1,0,0,1,0,0,52,0,0,0
